country,startIP,endIP,startIpNum,endIpNum
BR,45.5.240.0,45.5.243.255,755363840,755364863
BR,45.5.244.0,45.5.247.255,755364864,755365887
BR,45.5.248.0,45.5.251.255,755365888,755366911
BR,45.5.252.0,45.5.255.255,755366912,755367935
BR,45.6.0.0,45.6.3.255,755367936,755368959
AR,45.6.4.0,45.6.7.255,755368960,755369983
BR,45.6.12.0,45.6.15.255,755371008,755372031
BR,45.6.16.0,45.6.19.255,755372032,755373055
BR,45.6.20.0,45.6.23.255,755373056,755374079
BR,45.6.24.0,45.6.27.255,755374080,755375103
BR,45.6.28.0,45.6.31.255,755375104,755376127
BR,45.6.52.0,45.6.55.255,755381248,755382271
BR,45.6.56.0,45.6.59.255,755382272,755383295
MX,45.6.60.0,45.6.63.255,755383296,755384319
AR,45.6.68.0,45.6.71.255,755385344,755386367
BR,45.6.72.0,45.6.75.255,755386368,755387391
BR,45.6.88.0,45.6.91.255,755390464,755391487
BR,45.6.92.0,45.6.95.255,755391488,755392511
BR,45.6.108.0,45.6.111.255,755395584,755396607
BR,45.6.112.0,45.6.115.255,755396608,755397631
TT,64.28.128.0,64.28.143.255,1075609600,1075613695
DO,64.32.64.0,64.32.127.255,1075855360,1075871743
AR,66.60.0.0,66.60.63.255,1111228416,1111244799
DO,66.98.0.0,66.98.63.255,1113718784,1113735167
DO,66.98.64.0,66.98.95.255,1113735168,1113743359
AR,66.128.32.0,66.128.47.255,1115693056,1115697151
CO,66.231.64.0,66.231.79.255,1122451456,1122455551
VE,129.90.0.0,129.90.255.255,2170159104,2170224639
BO,131.0.0.0,131.0.3.255,2197815296,2197816319
BR,131.0.4.0,131.0.7.255,2197816320,2197817343
BR,131.0.8.0,131.0.11.255,2197817344,2197818367
BR,131.0.12.0,131.0.15.255,2197818368,2197819391
BR,131.0.16.0,131.0.19.255,2197819392,2197820415
BR,131.0.20.0,131.0.23.255,2197820416,2197821439
BR,131.0.24.0,131.0.27.255,2197821440,2197822463
BR,131.0.28.0,131.0.31.255,2197822464,2197823487
BR,131.0.32.0,131.0.35.255,2197823488,2197824511
BR,131.0.36.0,131.0.39.255,2197824512,2197825535
BR,131.0.40.0,131.0.43.255,2197825536,2197826559
BR,131.0.44.0,131.0.47.255,2197826560,2197827583
BR,131.0.48.0,131.0.51.255,2197827584,2197828607
AR,131.0.52.0,131.0.55.255,2197828608,2197829631
BR,131.0.56.0,131.0.59.255,2197829632,2197830655
BR,131.0.60.0,131.0.63.255,2197830656,2197831679
BR,131.0.64.0,131.0.67.255,2197831680,2197832703
BR,131.0.68.0,131.0.71.255,2197832704,2197833727
CR,131.0.72.0,131.0.75.255,2197833728,2197834751
BR,131.0.76.0,131.0.79.255,2197834752,2197835775
BR,131.0.80.0,131.0.83.255,2197835776,2197836799
BR,131.0.84.0,131.0.87.255,2197836800,2197837823
BR,131.0.88.0,131.0.91.255,2197837824,2197838847
BR,131.0.92.0,131.0.95.255,2197838848,2197839871
BR,131.0.96.0,131.0.99.255,2197839872,2197840895
BR,131.0.100.0,131.0.103.255,2197840896,2197841919
AR,131.0.104.0,131.0.107.255,2197841920,2197842943
CL,131.0.108.0,131.0.111.255,2197842944,2197843967
BR,131.0.112.0,131.0.115.255,2197843968,2197844991
BR,131.0.116.0,131.0.119.255,2197844992,2197846015
BR,131.0.120.0,131.0.123.255,2197846016,2197847039
MX,131.0.124.0,131.0.127.255,2197847040,2197848063
AR,131.0.128.0,131.0.131.255,2197848064,2197849087
BR,131.0.132.0,131.0.135.255,2197849088,2197850111
CO,131.0.136.0,131.0.139.255,2197850112,2197851135
BR,131.0.140.0,131.0.143.255,2197851136,2197852159
BR,131.0.144.0,131.0.147.255,2197852160,2197853183
